number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
85,rendre,none,v,"to render, return, yield, give up",* je m'y rendis à 4 heures du matin -- I went there at 4 o'clock in the morning,je m'y rendis à 4 heures du matin,8,I went there at 4 o'clock in the morning,90,10226,90 | 10226
86,part,none,nf,share,* je voudrais vous faire part de quelques données -- I want to share some data with you,je voudrais vous faire part de quelques données,8,I want to share some data with you,91,8971,91 | 8971
87,dernier,none,nadj,last,* c'est le dernier endroit où vous auriez dû vous rencontrer -- that's the last place you should have met,c'est le dernier endroit où vous auriez dû vous rencontrer,10,that's the last place you should have met,83,17524,83 | 17524
88,venir,Verbs of movement,v,to come,* venez rencontrer les autres -- come meet the others,venez rencontrer les autres,4,come meet the others,81,19776,81 | 19776
89,pendant,none,"adj,prep,nm",during; pendant,* où t'étais pendant tout ce temps? -- where were you all of this time?,où t'étais pendant tout ce temps?,6,where were you all of this time?,91,8413,91 | 8413
90,passer,Verbs of movement,v,to pass,* nous sommes passées devant la maison de ma grand-mère -- we went past the front of my grandmother's place,nous sommes passées devant la maison de ma grand-mère,9,we went past the front of my grandmother's place,83,17070,83 | 17070
91,peu,none,adv,little,* un secret se dévoile peu à peu -- a secret unfolds little by little,un secret se dévoile peu à peu,7,a secret unfolds little by little,81,18830,81 | 18830
92,lequel,none,pro,"who, whom, which",* il y a bien des points sur lesquels je voudrais faire des commentaires -- there are many points on which I would like to comment,il y a bien des points sur lesquels je voudrais faire des commentaires,13,there are many points on which I would like to comment,87,12507,87 | 12507
93,suite,none,nf,"result, follow-up, rest","* deux, trois et ainsi de suite -- two, three, and so on","deux, trois et ainsi de suite",6,"two, three, and so on",93,5964,93 | 5964
94,bon,Emotions,"adj,adv,intj,nm",good,* ce n'est pas le bon moment -- it's not a good time,ce n'est pas le bon moment,6,it's not a good time,81,18375,81 | 18375
95,comprendre,none,v,to understand,* je comprends que vous soyez fâché -- I understand that you're upset,je comprends que vous soyez fâché,6,I understand that you're upset,87,12482,87 | 12482
