number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
3800,par-dessus,Adverbs – differences across registers,adv,over,* elle voulait un enfant par-dessus tout -- she wanted a child more than anything,elle voulait un enfant par-dessus tout,6,she wanted a child more than anything,62,375+l -n,62 | 375+l -n
3801,quota,none,nm,quota,* il ne peut justifier une hausse des quotas de phoques -- he can't justify raising the seal quota,il ne peut justifier une hausse des quotas de phoques,10,he can't justify raising the seal quota,65,334-l,65 | 334-l
3802,tailler,none,v,"to cut, carve, engrave, sharpen, trim",* le résultat fut une cote mal taillée -- the result was a badly tailored quote,le résultat fut une cote mal taillée,7,the result was a badly tailored quote,72,253,72 | 253
3803,apparent,none,adj,"apparent, obvious",* je me surprenais à pleurer sans cause apparente -- I surprised myself by weeping without any apparent cause,je me surprenais à pleurer sans cause apparente,8,I surprised myself by weeping without any apparent cause,76,213,76 | 213
3804,enfuir,none,v,"to run away, flee","* je voudrais m'enfuir, mais je suis comme paralysée -- I wanted to escape but it's like I'm paralyzed","je voudrais m'enfuir, mais je suis comme paralysée",8,I wanted to escape but it's like I'm paralyzed,67,315,67 | 315
3805,assistant,none,nm,assistant,* j'ai demandé à être assistant stagiaire -- I asked to be an intern,j'ai demandé à être assistant stagiaire,6,I asked to be an intern,75,221,75 | 221
3806,portion,none,nf,"portion, share",* les pannes ont frappé de larges portions du sud de Moscou -- blackouts hit large portions of southern Moscow,les pannes ont frappé de larges portions du sud de Moscou,11,blackouts hit large portions of southern Moscow,83,141,83 | 141
3807,allocation,none,nf,"allocation, granting, allotment, allowance",* il dirigeait l'allocation des ressources -- he directed the allocation of resources,il dirigeait l'allocation des ressources,5,he directed the allocation of resources,70,275,70 | 275
3808,spéculation,none,nf,speculation,* la fièvre de la spéculation a produit les mariages d'argent -- speculation madness led to money marriages,la fièvre de la spéculation a produit les mariages d'argent,10,speculation madness led to money marriages,72,251,72 | 251
3809,décéder,Verbs – differences across registers,v,"to die, pass away, pass on",* une vieille dame est décédée pendant qu'elle dormait -- an elderly woman died in her sleep,une vieille dame est décédée pendant qu'elle dormait,8,an elderly woman died in her sleep,61,379,61 | 379
3810,serré,none,"adj,adv","tight, packed, crowded",* le budget est serré cette année -- the budget is tight this year,le budget est serré cette année,6,the budget is tight this year,76,214,76 | 214
3811,enquêter,none,v,"to investigate, hold inquiry, conduct a survey",* tu veux vraiment enquêter sur lui? -- you really want to investigate him?,tu veux vraiment enquêter sur lui?,6,you really want to investigate him?,73,241,73 | 241
3812,dix-sept,none,"det,nmi",seventeen,* la ville brûla pendant dix-sept jours -- the city burned for seventeen days,la ville brûla pendant dix-sept jours,6,the city burned for seventeen days,59,408,59 | 408
3813,allonger,none,v,"to lengthen, extend, stretch out",* je m'allongeai sur mon lit -- I stretched out on my bed,je m'allongeai sur mon lit,5,I stretched out on my bed,66,324,66 | 324
3814,chauffeur,none,nm,"driver, chauffeur",* le chauffeur du véhicule n'a pas été identifié -- the driver of the vehicle has not been identified,le chauffeur du véhicule n'a pas été identifié,8,the driver of the vehicle has not been identified,68,294,68 | 294
3815,prospérité,none,nf,prosperity,* la société japonaise a connu une grande prospérité -- Japanese society enjoyed great prosperity,la société japonaise a connu une grande prospérité,8,Japanese society enjoyed great prosperity,72,252,72 | 252
3816,ambiguïté,none,nf,ambiguity,* cette affirmation cache encore bien des ambiguïtés -- this assertion still hides several ambiguities,cette affirmation cache encore bien des ambiguïtés,7,this assertion still hides several ambiguities,77,198,77 | 198
3817,bourgeois,Nouns – differences across registers,nadj(pl),middle class,* ses parents vivaient comme des bourgeois -- her parents lived like middle-class people,ses parents vivaient comme des bourgeois,6,her parents lived like middle-class people,60,396+l,60 | 396+l
3818,touristique,none,adj(f),"holiday, tourist",* elle évite les lieux touristiques -- she avoids tourist traps,elle évite les lieux touristiques,5,she avoids tourist traps,76,210,76 | 210
3819,obscur,Adjectives – differences across registers,adj,"dark, vague, obscure",* c'est le combat entre les forces obscures et les forces de la lumière -- it's the struggle between the dark forces and the forces of light,c'est le combat entre les forces obscures et les forces de la lumière,13,it's the struggle between the dark forces and the forces of light,64,347+l,64 | 347+l
3820,cou,Body,nm,neck,* elle nouait ses bras à mon cou -- she wrapped her arms around my neck,elle nouait ses bras à mon cou,7,she wrapped her arms around my neck,58,420+l,58 | 420+l
3821,invention,none,nf,invention,* le calendrier est une invention humaine -- the calendar is a human invention,le calendrier est une invention humaine,6,the calendar is a human invention,71,265,71 | 265
3822,boucle,none,nf,"loop, buckle, curl",* ils sont si mignons avec leurs boucles blondes -- they are so cute with their blond curls,ils sont si mignons avec leurs boucles blondes,8,they are so cute with their blond curls,64,338,64 | 338
3823,flou,none,adj,"blurred, fuzzy, vague","* tout dans la pièce lui sembla flou, déformé -- everything in the room seemed blurred to him","tout dans la pièce lui sembla flou, déformé",8,everything in the room seemed blurred to him,74,226,74 | 226
3824,redire,none,v,"to say again, repeat","* je te l'ai dit et redit -- I told you once, and then again",je te l'ai dit et redit,6,"I told you once, and then again",79,179,79 | 179
3825,consultatif,none,adj,advisory,* ils seront réduits à un rôle consultatif -- they will be relegated to an advisory role,ils seront réduits à un rôle consultatif,7,they will be relegated to an advisory role,65,325,65 | 325
3826,torturer,none,v,to torture,* elle m'a torturée mentalement toute l'année -- she tortured me mentally all year long,elle m'a torturée mentalement toute l'année,6,she tortured me mentally all year long,73,235,73 | 235
3827,carton,Materials,nm,"cardboard, card, score",* il y a une petite boîte de carton où vous trouverez un carnet de timbres -- there is a little cardboard box where you will find a book of stamps,il y a une petite boîte de carton où vous trouverez un carnet de timbres,15,there is a little cardboard box where you will find a book of stamps,69,288,69 | 288
3828,effrayer,none,v,"to frighten, scare",* le futur m'attirait et m'effrayait à la fois -- the future both attracted me and scared me,le futur m'attirait et m'effrayait à la fois,8,the future both attracted me and scared me,66,314,66 | 314
3829,pitié,none,nf,"pity, mercy",* enfin le ciel eut pitié de cette mère malheureuse -- finally heaven had pity on this unhappy mother,enfin le ciel eut pitié de cette mère malheureuse,9,finally heaven had pity on this unhappy mother,56,445+l -n,56 | 445+l -n
3830,complexité,none,nf,complexity,* le livre explore la complexité de la société de l'information -- the book explores the complexity of the information society,le livre explore la complexité de la société de l'information,10,the book explores the complexity of the information society,69,282,69 | 282
3831,favori,none,nadj,favorite,* le favori a gagné. nous le félicitons -- the faorite won. we congratulated him,le favori a gagné. nous le félicitons,7,the faorite won. we congratulated him,68,291,68 | 291
3832,noyau,none,nm,"core, nucleus, pit",* il recracha le noyau d'une olive -- he spat out an olive pit,il recracha le noyau d'une olive,6,he spat out an olive pit,67,305,67 | 305
3833,brandir,none,v,"to brandish, wield, wave",* il brandit longuement les poings sous l'ovation -- he pumped his fists as the crowd cheered,il brandit longuement les poings sous l'ovation,7,he pumped his fists as the crowd cheered,77,201,77 | 201
3834,repenser,none,v,to rethink,* il faut complètement repenser le tourisme -- tourism must be completely rethought,il faut complètement repenser le tourisme,6,tourism must be completely rethought,80,169,80 | 169
3835,timide,none,nadj(f),"timid, shy, bashful","* sois pas timide, petit minou -- don't be timid, little buddy","sois pas timide, petit minou",5,"don't be timid, little buddy",73,242,73 | 242
3836,audition,none,nf,"hearing, examination, audition",* on a assisté aux auditions -- we attended the hearings,on a assisté aux auditions,5,we attended the hearings,72,250,72 | 250
3837,comptabilité,none,nf,"accountancy, accounting, book-keeping",* il a fait beaucoup de travail en comptabilité -- he worked extensively in accounting,il a fait beaucoup de travail en comptabilité,8,he worked extensively in accounting,77,195,77 | 195
3838,précaire,none,adj(f),"precarious, makeshift",* le futur de leurs fils devient précaire -- their son's future was becoming precarious,le futur de leurs fils devient précaire,7,their son's future was becoming precarious,77,199,77 | 199
3839,trône,none,nm,throne,* nous sommes des auxiliaires du trône pontifical -- we are assistants to the pontifical throne,nous sommes des auxiliaires du trône pontifical,7,we are assistants to the pontifical throne,64,343,64 | 343
3840,insulter,none,v,to insult,* jamais je ne vous aurais insulté de propos délibérés -- I never would have insulted you deliberately,jamais je ne vous aurais insulté de propos délibérés,9,I never would have insulted you deliberately,78,185,78 | 185
3841,saut,Sports,nm,"jump, leap",* il a fait le grand saut -- he made the big leap,il a fait le grand saut,6,he made the big leap,75,216,75 | 216
3842,amende,none,nf,fine,* il devra payer l'amende -- he'll have to pay the fine,il devra payer l'amende,4,he'll have to pay the fine,67,307,67 | 307
3843,différemment,none,adv,differently,* les femmes ont voté différemment de leurs maris -- the women voted differently from their husbands,les femmes ont voté différemment de leurs maris,8,the women voted differently from their husbands,72,243+s,72 | 243+s
3844,programmation,Nouns – differences across registers,nf,programming,* c'est trois heures de programmation par jour en direct -- it's three hours of live daily programming,c'est trois heures de programmation par jour en direct,9,it's three hours of live daily programming,50,522-l +s,50 | 522-l +s
3845,crédible,none,adj(f),credible,"* notre système est crédible, reconnu mondialement -- our system is credible, recognized worldwide","notre système est crédible, reconnu mondialement",6,"our system is credible, recognized worldwide",76,204,76 | 204
3846,justification,none,nf,"justification, proof",* on ne saurait trouver de justification au terrorisme -- there's no justification for terrorism,on ne saurait trouver de justification au terrorisme,8,there's no justification for terrorism,76,210,76 | 210
3847,conservation,none,nf,"preservation, preserving, retention",* quelles mesures de conservation peuvent être prises -- what conservation measures can be taken,quelles mesures de conservation peuvent être prises,7,what conservation measures can be taken,65,324+s,65 | 324+s
3848,transit,Nouns – differences across registers,nm,transit,* le fric est en transit. bouge pas -- the loot is on its way. don't move,le fric est en transit. bouge pas,7,the loot is on its way. don't move,45,602-l +n -s,45 | 602-l +n -s
3849,organisateur,none,nadj,"organiser, organising",* il a été l'un des principaux organisateurs -- he was one of the principal organizers,il a été l'un des principaux organisateurs,7,he was one of the principal organizers,64,332,64 | 332
3850,galerie,none,nf,gallery,* il y a toute une galerie de personnages -- there's a whole range of personalities,il y a toute une galerie de personnages,8,there's a whole range of personalities,74,228,74 | 228
3851,aménagement,none,nm,"development, planning, fitting, adjustment","* alors, on a fait des aménagements -- so, we made some adjustments","alors, on a fait des aménagements",6,"so, we made some adjustments",70,267,70 | 267
3852,manifestant,none,nm,"protester, demonstrator",* les manifestants ont fait monter la pression -- the protesters increased the pressure,les manifestants ont fait monter la pression,7,the protesters increased the pressure,51,507-l +n -s,51 | 507-l +n -s
3853,char,none,nm,tank,* j'entends vaguement les chars qui s'approchent -- I barely hear the tanks as they approach,j'entends vaguement les chars qui s'approchent,6,I barely hear the tanks as they approach,66,307,66 | 307
3854,criminalité,none,nf,crime,* la prévention de la criminalité devrait être notre objectif final -- crime prevention should be our ultimate goal,la prévention de la criminalité devrait être notre objectif final,10,crime prevention should be our ultimate goal,57,418-l +s,57 | 418-l +s
3855,masquer,none,v,"to mask, conceal, put on a mask","* le brouillard descendit des montagnes, masquant le coucher de soleil -- the fog rolled down the mountains, masking the sunset","le brouillard descendit des montagnes, masquant le coucher de soleil",10,"the fog rolled down the mountains, masking the sunset",73,238,73 | 238
3856,masque,none,nm,mask,* je voudrais voir le visage derrière ce masque -- I would like to see the face behind that mask,je voudrais voir le visage derrière ce masque,8,I would like to see the face behind that mask,71,257,71 | 257
3857,dorénavant,none,adv,"from now on, henceforth",* j'écrirai dorénavant sur les deux côtés de la page -- from now on I will write on both sides of the page,j'écrirai dorénavant sur les deux côtés de la page,9,from now on I will write on both sides of the page,80,162,80 | 162
3858,festival,none,nm,festival,* j'étais dans un festival de musique -- I was in a music festival,j'étais dans un festival de musique,6,I was in a music festival,57,417+s,57 | 417+s
3859,prôner,none,v,"to laud, extol, advocate, commend",* l'évangile prône la pauvreté -- the gospel preaches poverty,l'évangile prône la pauvreté,4,the gospel preaches poverty,72,245,72 | 245
3860,radicalement,none,adv,radically,"* aujourd'hui, la situation est radicalement différente -- today, the situation is radically different","aujourd'hui, la situation est radicalement différente",6,"today, the situation is radically different",77,191,77 | 191
3861,franchise,none,nf,"frankness, exemption, duty-free, franchise, deductible",* vous parlez avec une grande franchise -- you speak very frankly,vous parlez avec une grande franchise,6,you speak very frankly,77,192,77 | 192
3862,ultérieur,Adjectives – differences across registers,adj,"later, subsequent",* sauvegardez-la pour un traitement ultérieur -- save it for subsequent processing,sauvegardez-la pour un traitement ultérieur,5,save it for subsequent processing,56,429,56 | 429
3863,expédier,none,v,"to send, dispatch",* nous l'expédions dans des pays comme le Japon -- we send him to countries like Japan,nous l'expédions dans des pays comme le Japon,8,we send him to countries like Japan,77,194,77 | 194
3864,axer,none,v,to center,* sa morale privée était axée sur le culte de la famille -- her private morals centered on family worship,sa morale privée était axée sur le culte de la famille,11,her private morals centered on family worship,69,273,69 | 273
3865,propager,none,v,"to propagate, spread",* vous propagez le malheur des gens au monde entier -- you're spreading people's misery througout the world,vous propagez le malheur des gens au monde entier,9,you're spreading people's misery througout the world,74,219,74 | 219
3866,rectifier,none,v,"to rectify, correct",* nul n'osa l'interrompre pour rectifier -- nobody dared interrupt her to correct her,nul n'osa l'interrompre pour rectifier,5,nobody dared interrupt her to correct her,83,138,83 | 138
3867,tennis,Sports,nmi,tennis,* la télévision retransmettait un match de tennis -- the television rebroadcast a tennis match,la télévision retransmettait un match de tennis,7,the television rebroadcast a tennis match,54,465,54 | 465
3868,avenue,none,nf,avenue,* ils empruntèrent d'abord une grande avenue -- first they took a broad street,ils empruntèrent d'abord une grande avenue,6,first they took a broad street,73,236,73 | 236
3869,vengeance,none,nf,revenge,* le désir de vengeance est bon pour la santé -- the desire for revenge is healthy,le désir de vengeance est bon pour la santé,9,the desire for revenge is healthy,76,199,76 | 199
3870,émouvoir,none,v,"to move, touch",* j'ai été profondément ému par la cérémonie -- I was deeply moved by the ceremony,j'ai été profondément ému par la cérémonie,7,I was deeply moved by the ceremony,67,303+l,67 | 303+l
3871,hé,none,intj,hey,"* hé, les gars, regardez par ici -- hey, guys, look over here","hé, les gars, regardez par ici",6,"hey, guys, look over here",46,585-n +s,46 | 585-n +s
3872,génial,Adjectives – differences across registers,adj,"inspired, great, brilliant",* j'ai une idée géniale -- I have a brilliant idea,j'ai une idée géniale,4,I have a brilliant idea,53,471-n +s,53 | 471-n +s
3873,réduit,none,nm,"reduced, scaled-down, cut-down, tiny room, hideout",* nous avions une équipe très réduite -- we had a team that had been greatly reduced,nous avions une équipe très réduite,6,we had a team that had been greatly reduced,80,169,80 | 169
3874,alléger,none,v,"to lighten, alleviate,",* il est temps d'alléger les impôts -- it's time to reduce taxes,il est temps d'alléger les impôts,6,it's time to reduce taxes,73,238,73 | 238
3875,vierge,none,nadj(f),virgin,* la Vierge est célébrée deux fois l'an -- the Virgin is celebrated twice a year,la Vierge est célébrée deux fois l'an,7,the Virgin is celebrated twice a year,65,324+l,65 | 324+l
3876,meuble,none,nadj(f),piece of furniture,* on me cache derrière un meuble -- they hid me behind a piece of furniture,on me cache derrière un meuble,6,they hid me behind a piece of furniture,65,321,65 | 321
3877,rapprochement,none,nm,"bringing together, coming closer, parallel",* nous cherchons un rapprochement entre les deux extrêmes -- we're seeking a consensus between the two extremes,nous cherchons un rapprochement entre les deux extrêmes,8,we're seeking a consensus between the two extremes,67,298,67 | 298
3878,confession,none,nf,confession,* la confession de mes fautes me permet de recommencer -- confessing my faults allows me to start afresh,la confession de mes fautes me permet de recommencer,9,confessing my faults allows me to start afresh,75,212,75 | 212
3879,suspens,none,nm(pl),"suspension, abeyance",* trop de questions vont rester en suspens -- too many questions will remain unresolved,trop de questions vont rester en suspens,7,too many questions will remain unresolved,82,143,82 | 143
3880,dégradation,none,nf,"degrading, damaging, erosion; demotion",* il vient de subir une nouvelle dégradation -- he has just been demoted again,il vient de subir une nouvelle dégradation,7,he has just been demoted again,62,356+n,62 | 356+n
3881,vingtième,none,"det,nm,nf",twentieth,"* la chambre obscure, au vingtième étage, cuit à gros feu -- the dark room, on the twentieth floor, is burning intensely","la chambre obscure, au vingtième étage, cuit à gros feu",10,"the dark room, on the twentieth floor, is burning intensely",69,276,69 | 276
3882,agenda,none,nm,"diary, planner",* j'écris mes poèmes dans un agenda -- I write my poems in a day planner,j'écris mes poèmes dans un agenda,6,I write my poems in a day planner,82,145,82 | 145
3883,grand-mère,Family,nf,grandmother,* elle est allée chez sa grand-mère -- she went to her grandmother's place,elle est allée chez sa grand-mère,6,she went to her grandmother's place,65,321,65 | 321
3884,phare,none,nm,"lighthouse, headlight",* éteignez les phares! restez où vous êtes! -- turn off the lights! stay where you are!,éteignez les phares! restez où vous êtes!,7,turn off the lights! stay where you are!,68,287,68 | 287
3885,virtuel,none,adj,"virtual, potential","* c'est pire que l'espace virtuel, le cyberespace -- cyberspace is worse than virtual space","c'est pire que l'espace virtuel, le cyberespace",7,cyberspace is worse than virtual space,73,228,73 | 228
3886,gagnant,Sports,nadj,"winner, winning","* j'en sortirai gagnant, finalement -- I will finally end up being the winner","j'en sortirai gagnant, finalement",4,I will finally end up being the winner,71,255,71 | 255
3887,nettoyer,none,v,to clean,* elle nettoyait la chambre -- she cleaned the room,elle nettoyait la chambre,4,she cleaned the room,68,282,68 | 282
3888,diagnostic,none,nm,diagnosis,* comment confirme-t-on le diagnostic de l'Alzheimer? -- how does one confirm a diagnosis of Alzheimer's?,comment confirme-t-on le diagnostic de l'Alzheimer?,6,how does one confirm a diagnosis of Alzheimer's?,71,250,71 | 250
3889,poing,Body,nm,"fist, punch",* je vais t'envoyer mon poing dans la figure! -- I'm gonna give you a fist in the mug!,je vais t'envoyer mon poing dans la figure!,8,I'm gonna give you a fist in the mug!,65,321+l,65 | 321+l
3890,étiquette,none,nf,"label, ticket, etiquette, sticker, tag",* l'étiquette distingue un élément d'information d'un autre -- the tag distinguishes one data item from another,l'étiquette distingue un élément d'information d'un autre,7,the tag distinguishes one data item from another,60,377+n,60 | 377+n
3891,tante,Family,nf,aunt,* j'avais été élevé par ma tante -- I was raised by my aunt,j'avais été élevé par ma tante,6,I was raised by my aunt,57,416+l -n,57 | 416+l -n
3892,chemise,Clothing,nf,"shirt, folder",* le col de sa chemise était largement ouvert -- the collar of her shirt was mostly open,le col de sa chemise était largement ouvert,8,the collar of her shirt was mostly open,59,390+l,59 | 390+l
3893,pile,none,nf,"pile, stack, battery, tails",* j'ai retiré les piles du détecteur d'oxyde de carbone -- I removed the batteries from the carbon monoxide detector,j'ai retiré les piles du détecteur d'oxyde de carbone,9,I removed the batteries from the carbon monoxide detector,63,339+l,63 | 339+l
3894,kilo,none,nm,kilo,* j'ai perdu 7 kilos en un an -- I lost 7 kilos in one year,j'ai perdu 7 kilos en un an,7,I lost 7 kilos in one year,68,288,68 | 288
3895,citoyenneté,none,nf,citizenship,* la citoyenneté nous donne un sens de la communauté -- citizenship gives us a sense of belonging,la citoyenneté nous donne un sens de la communauté,9,citizenship gives us a sense of belonging,56,433-l +s,56 | 433-l +s
3896,douceur,none,nf,"softness, smoothness, mildness, gentleness, sweetness",* nous venons de goûter la douceur de la victoire -- we have just tasted the sweetness of victory,nous venons de goûter la douceur de la victoire,9,we have just tasted the sweetness of victory,62,351+l,62 | 351+l
3897,attester,none,v,"to attest, confirm",* comme l'attesteront les amis qui me connaissent bien -- as those friends who know me well will attest,comme l'attesteront les amis qui me connaissent bien,8,as those friends who know me well will attest,82,145,82 | 145
3898,attraper,none,v,"to catch, get, pick up",* attention quand même : vous allez attraper un rhume -- now be careful--you're going to catch a cold,attention quand même : vous allez attraper un rhume,9,now be careful--you're going to catch a cold,58,402-n,58 | 402-n
3899,prestigieux,none,adj(pl),prestigious,* le jeune homme cumule trois diplômes prestigieux -- the young man is earning three prestigious degrees,le jeune homme cumule trois diplômes prestigieux,7,the young man is earning three prestigious degrees,73,228,73 | 228
3900,ruiner,none,v,"to ruin, bankrupt oneself",* maintenant je suis ruiné. je suis divorcé -- I'm ruined now. I'm divorced,maintenant je suis ruiné. je suis divorcé,7,I'm ruined now. I'm divorced,71,249,71 | 249
3901,croix,none,nf(pl),cross,* fais alors un signe de croix -- then make the sign of the cross,fais alors un signe de croix,6,then make the sign of the cross,60,376+l,60 | 376+l
3902,nullement,Adverbs – differences across registers,adv,not in the least,* il n'est nullement indispensable -- he's by no means indispensable,il n'est nullement indispensable,4,he's by no means indispensable,69,275,69 | 275
3903,incorporer,none,v,"to incorporate, insert, merge",* ce texte a été incorporé éventuellement dans le chapitre -- this text was eventually merged into the chapter,ce texte a été incorporé éventuellement dans le chapitre,9,this text was eventually merged into the chapter,75,206,75 | 206
3904,débloquer,none,v,"to free, unfreeze, unjam, release, unblock",* le premier ministre cherchait sans doute à débloquer le projet -- the prime minister clearly sought to unblock the project,le premier ministre cherchait sans doute à débloquer le projet,10,the prime minister clearly sought to unblock the project,75,208,75 | 208
3905,ficher,Verbs – differences across registers,v,"to file; to make fun of, not care, not give a damn",* je me fiche pas mal de ce que tu fais! -- I really don't give a damn what you do,je me fiche pas mal de ce que tu fais!,10,I really don't give a damn what you do,60,381+s,60 | 381+s
3906,censure,none,nf,censorship,* j'ai toujours eu des problèmes de censure -- I always had problems with censorship,j'ai toujours eu des problèmes de censure,7,I always had problems with censorship,71,250,71 | 250
3907,linguistique,none,nadj(f),"linguistic, linguistics",* il est difficile de franchir la barrière linguistique -- it's difficult to overcome the language barrier,il est difficile de franchir la barrière linguistique,8,it's difficult to overcome the language barrier,59,387-l,59 | 387-l
3908,accompli,none,adj,accomplished,"* mission accomplie, hein? c'est fini -- mission accomplished, eh? it's over","mission accomplie, hein? c'est fini",5,"mission accomplished, eh? it's over",82,141,82 | 141
3909,terriblement,none,adv,"terribly, awfully",* je suis terriblement navré -- I'm terribly embarrassed,je suis terriblement navré,4,I'm terribly embarrassed,81,157,81 | 157
3910,main-d'œuvre,none,nf,"manpower, labor, workforce",* une main-d'œuvre hautement qualifiée existe dans le Sud-Est asiatique -- highly qualified manpower exists in south-east Asia,une main-d'œuvre hautement qualifiée existe dans le Sud-Est asiatique,9,highly qualified manpower exists in south-east Asia,60,379,60 | 379
3911,invasion,none,nf,invasion,* personne ne sait exactement combien l'invasion de l'Irak va coûter -- nobody knows exactly how much the invasion of Iraq will cost,personne ne sait exactement combien l'invasion de l'Irak va coûter,10,nobody knows exactly how much the invasion of Iraq will cost,68,278,68 | 278
3912,orange,Colors,"adji,nf",orange,* ils cultivent des oranges -- they grow oranges,ils cultivent des oranges,4,they grow oranges,76,203,76 | 203
3913,jury,none,nm,"jury, board of examiners",* c'est un jury exclusivement blanc -- it's an all-white jury,c'est un jury exclusivement blanc,5,it's an all-white jury,68,278,68 | 278
3914,bœuf,Food,nm,"ox, steer, beef",* il est bien possible que ce bœuf ait été engraissé aux hormones -- this cow may have been fattened with hormones,il est bien possible que ce bœuf ait été engraissé aux hormones,12,this cow may have been fattened with hormones,77,193,77 | 193
3915,rallier,none,v,"to rally, win over, join","* on veut faire de l'argent, on veut rallier les gens, faire le party -- we want to make money, we want to gather people, to party","on veut faire de l'argent, on veut rallier les gens, faire le party",13,"we want to make money, we want to gather people, to party",74,219,74 | 219
3916,roue,none,nf,wheel,"* avance doucement, dis-je. les roues se mirent à tourner -- inch slowly forward, I said. the wheels began turning","avance doucement, dis-je. les roues se mirent à tourner",9,"inch slowly forward, I said. the wheels began turning",72,243,72 | 243
3917,barrer,none,v,"to close, block, bar, cross",* les deux autres me barraient la sortie -- the two others blocked my way,les deux autres me barraient la sortie,7,the two others blocked my way,68,284,68 | 284
3918,réaffirmer,Verbs – differences across registers,v,"to reaffirm, reassert",* il faut réaffirmer ce droit fondamental -- we must reaffirm this fundamental right,il faut réaffirmer ce droit fondamental,6,we must reaffirm this fundamental right,59,382-l,59 | 382-l
3919,assigner,none,v,"to assign, allocate, attach, attribute",* deux grandes tâches lui sont assignées -- two great tasks are assigned to her,deux grandes tâches lui sont assignées,6,two great tasks are assigned to her,74,222,74 | 222
3920,souhaitable,none,adj(f),desirable,* une dictature militaire n'est pas souhaitable dans ce pays -- a military dictatorship isn't desirable in this country,une dictature militaire n'est pas souhaitable dans ce pays,9,a military dictatorship isn't desirable in this country,68,276,68 | 276
3921,soupçon,none,nm,suspicion,* elle l'examina avec soupçon -- she examined it with suspicion,elle l'examina avec soupçon,4,she examined it with suspicion,72,234,72 | 234
3922,constat,none,nm,"report, statement",* ces associations en sont arrivées à ce constat -- these associations arrived at this agreement,ces associations en sont arrivées à ce constat,8,these associations arrived at this agreement,65,319,65 | 319
3923,communisme,Creating nouns – 1,nm,communism,* nous avons hérité du communisme une destruction massive de l'environnement -- we inherited from communism massive destruction of the environment,nous avons hérité du communisme une destruction massive de l'environnement,10,we inherited from communism massive destruction of the environment,71,244,71 | 244
3924,dynamisme,Creating nouns – 1,nm,dynamism,* quel est le secret de votre dynamisme? -- what's the secret of your vitality?,quel est le secret de votre dynamisme?,7,what's the secret of your vitality?,77,189,77 | 189
3925,flagrant,none,adj,"blatant, glaring",* c'est une contradiction flagrante -- it's a blatant contradiction,c'est une contradiction flagrante,4,it's a blatant contradiction,77,192,77 | 192
3926,paire,none,nf,pair,* une paire de gants nous suffisait -- a pair of gloves was sufficient for us,une paire de gants nous suffisait,6,a pair of gloves was sufficient for us,66,296,66 | 296
3927,loup,Animals,nm,wolf,"* ce n'était pas un loup, ce n'en était que l'ombre -- it wasn't a wolf, just the shadow of one","ce n'était pas un loup, ce n'en était que l'ombre",10,"it wasn't a wolf, just the shadow of one",74,219,74 | 219
3928,concerter,none,v,"to devise, consult",* l'occasion de nous concerter avec nos groupes -- the chance to consult together in our groups,l'occasion de nous concerter avec nos groupes,7,the chance to consult together in our groups,80,159,80 | 159
3929,désespérer,none,v,to despair,* il faut désespérer de ce peuple et le subjuguer -- you must lose hope in this people and take them captive,il faut désespérer de ce peuple et le subjuguer,9,you must lose hope in this people and take them captive,68,280,68 | 280
3930,subit,none,adj,sudden,* une chaleur subite l'envahissait -- a sudden heat overcame him,une chaleur subite l'envahissait,4,a sudden heat overcame him,76,201,76 | 201
3931,diplomate,none,"nadj(f),nm","diplomat, diplomatic",* ils sont accompagnés par un diplomate russe -- they're accompanied by a Russian diplomat,ils sont accompagnés par un diplomate russe,7,they're accompanied by a Russian diplomat,57,404+n -s,57 | 404+n -s
3932,joue,Nouns – differences across registers,nf,cheek,"* des larmes coulaient sur mes joues, sans arrêt -- tears rolled down my cheeks continually","des larmes coulaient sur mes joues, sans arrêt",8,tears rolled down my cheeks continually,55,430+l -n -s,55 | 430+l -n -s
3933,essuyer,none,v,"to wipe, dry, mop, dust",* essuie tes larmes -- wipe away your tears,essuie tes larmes,3,wipe away your tears,69,271,69 | 271
3934,exporter,none,v,to export,* le Canada exporte un certain nombre de produits alimentaires -- Canada exports some food products,le Canada exporte un certain nombre de produits alimentaires,9,Canada exports some food products,69,272,69 | 272
3935,étaler,none,v,"to spread, display, apply",* j'ai étalé mon manteau sur votre lit -- I spread out my coat on your bed,j'ai étalé mon manteau sur votre lit,7,I spread out my coat on your bed,69,264,69 | 264
3936,reconduire,none,v,"to renew, drive back",* je te reconduis à l'aéroport -- I'll drive you back to the airport,je te reconduis à l'aéroport,5,I'll drive you back to the airport,79,172,79 | 172
3937,handicap,none,nm,handicap,* mon handicap est très sérieux -- my handicap is very serious,mon handicap est très sérieux,5,my handicap is very serious,74,212,74 | 212
3938,bonsoir,Nouns – differences across registers,"intj,nm",good evening,"* bonsoir cher ami. quel plaisir de vous voir -- good evening, dear friend. how nice to see you",bonsoir cher ami. quel plaisir de vous voir,8,"good evening, dear friend. how nice to see you",49,519-n +s,49 | 519-n +s
3939,casque,none,nm,helmet,* je suis la seule à porter un casque au travail -- I was the only one to wear a helmet at work,je suis la seule à porter un casque au travail,10,I was the only one to wear a helmet at work,70,261,70 | 261
3940,autrui,none,pro,others,* vous ne pouvez pas les louer à autrui -- you're not allowed to rent them to others,vous ne pouvez pas les louer à autrui,8,you're not allowed to rent them to others,71,242,71 | 242
